Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Data-Aware Service Placement in the Cloud-IoT Continuum,Service-Oriented Computing,,,,10.1007/978-3-031-18304-1_8,Jacopo MassaStefano FortiAntonio Brogi,2022,http://link.springer.com/chapter/10.1007/978-3-031-18304-1_8,Chapter
Towards Efficient HW Acceleration in Edge-Cloud Infrastructures: The SERRANO Approach,"Embedded Computer Systems: Architectures, Modeling, and Simulation",,,,10.1007/978-3-031-04580-6_24,Aggelos FerikoglouIoannis OroutzoglouArgyris KokkinisDimitrios DanopoulosDimosthenis MasourosEfthymios ChondrogiannisAitor Fernández GómezAristotelis KretsisPanagiotis KokkinosEmmanouel VarvarigosKostas Siozios,2022,http://link.springer.com/chapter/10.1007/978-3-031-04580-6_24,Chapter
"Leveraging Applications of Formal Methods, Verification and Validation. Adaptation and Learning",Lecture Notes in Computer Science,,,,10.1007/978-3-031-19759-8,Tiziana MargariaBernhard Steffen,2022,http://link.springer.com/book/10.1007/978-3-031-19759-8,Book
"Economics of Grids, Clouds, Systems, and Services",Lecture Notes in Computer Science,,,,10.1007/978-3-030-92916-9,Dr. Konstantinos TserpesJörn AltmannJosé Ángel BañaresOrna Agmon Ben-YehudaProf. Karim DjemameProf. Vlado StankovskiDr. Bruno Tuffin,2021,http://link.springer.com/book/10.1007/978-3-030-92916-9,Book
Distributed Big Data Analytics in a Smart City,Technologies and Applications for Big Data Value,,,,10.1007/978-3-030-78307-5_21,Maria A. SerranoErez HadadRoberto CavicchioliRut PalmeroLuca ChiantoreDanilo AmendolaEduardo Quiñones,2022,http://link.springer.com/chapter/10.1007/978-3-030-78307-5_21,Chapter
Cloud Computing and Services Science,Communications in Computer and Information Science,,,,10.1007/978-3-031-21637-4,Donald FergusonMarkus HelfertClaus Pahl,2022,http://link.springer.com/book/10.1007/978-3-031-21637-4,Book
Software Ecosystems,,,,,10.1007/978-3-031-36060-2,Tom MensCoen De RooverAnthony Cleve,2023,http://link.springer.com/book/10.1007/978-3-031-36060-2,Book
Introduction,Multimedia Cloud Computing Systems,,,,10.1007/978-3-030-88451-2_1,Mohsen Amini SalehiXiangbo Li,2021,http://link.springer.com/chapter/10.1007/978-3-030-88451-2_1,Chapter
Bringing Aggregate Programming Towards the Cloud,"Leveraging Applications of Formal Methods, Verification and Validation. Adaptation and Learning",,,,10.1007/978-3-031-19759-8_19,Giorgio AudritoFerruccio DamianiGianluca Torta,2022,http://link.springer.com/chapter/10.1007/978-3-031-19759-8_19,Chapter
High Performance Computing,Lecture Notes in Computer Science,,,,10.1007/978-3-030-90539-2,Heike JagodeHartwig AnztHatem LtaiefPiotr Luszczek,2021,http://link.springer.com/book/10.1007/978-3-030-90539-2,Book
Next Steps for Ad-hoc Edge Cloud and Swarm Computing Realization,Beyond Edge Computing,,,,10.1007/978-3-031-23344-9_12,Ana Juan Ferrer,2023,http://link.springer.com/chapter/10.1007/978-3-031-23344-9_12,Chapter
Architecturing Elastic Edge Storage Services for Data-Driven Decision Making,Software Architecture,,,,10.1007/978-3-030-29983-5_7,Ivan LujicHong-Linh Truong,2019,http://link.springer.com/chapter/10.1007/978-3-030-29983-5_7,Chapter
"Mining, Analyzing, and Evolving Data-Intensive Software Ecosystems",Software Ecosystems,,,,10.1007/978-3-031-36060-2_11,Csaba NagyMichele LanzaAnthony Cleve,2023,http://link.springer.com/chapter/10.1007/978-3-031-36060-2_11,Chapter
Computational Science – ICCS 2021,Lecture Notes in Computer Science,,,,10.1007/978-3-030-77961-0,Prof. Maciej PaszynskiProf. Dr. Dieter KranzlmüllerDr. Valeria V. KrzhizhanovskayaProf. Jack J. DongarraProf. Dr. Peter M. A. Sloot,2021,http://link.springer.com/book/10.1007/978-3-030-77961-0,Book
Fog-Enabled Smart Campus: Architecture and Challenges,Security and Privacy in New Computing Environments,,,,10.1007/978-3-030-21373-2_50,Chaogang TangShixiong XiaChong LiuXianglin WeiYu BaoWei Chen,2019,http://link.springer.com/chapter/10.1007/978-3-030-21373-2_50,Chapter
A Fog-Based IOV for Distributed Learning in Autonomous Vehicles,Mobile Networks and Management,,,,10.1007/978-3-030-94763-7_18,Pawan SubediBeichen YangXiaoyan Hong,2022,http://link.springer.com/chapter/10.1007/978-3-030-94763-7_18,Chapter
HCI International 2022 Posters,Communications in Computer and Information Science,,,,10.1007/978-3-031-06417-3,Constantine StephanidisMargherita AntonaStavroula Ntoa,2022,http://link.springer.com/book/10.1007/978-3-031-06417-3,Book
Mobile Networks and Management,"Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",,,,10.1007/978-3-030-94763-7,Carlos T. CalafateXianfu ChenYuan Wu,2022,http://link.springer.com/book/10.1007/978-3-030-94763-7,Book
Cooperative and Distributed Intelligent Computation in Fog Computing,,,,,10.1007/978-3-031-33920-2,Hoa Tran-DangDong-Seong Kim,2023,http://link.springer.com/book/10.1007/978-3-031-33920-2,Book
Service-Oriented Computing,Lecture Notes in Computer Science,,,,10.1007/978-3-031-48421-6,Flavia MontiStefanie Rinderle-MaAntonio Ruiz CortésZibin ZhengMassimo Mecella,2023,http://link.springer.com/book/10.1007/978-3-031-48421-6,Book
Serverless Data Pipelines for IoT Data Analytics: A Cloud Vendors Perspective and Solutions,"Predictive Analytics in Cloud, Fog, and Edge Computing",,,,10.1007/978-3-031-18034-7_7,Shivananda PoojaraChinmaya Kumar DehuryPelle JakovitsSatish Narayana Srirama,2023,http://link.springer.com/chapter/10.1007/978-3-031-18034-7_7,Chapter
Advances in Cybersecurity Management,,,,,10.1007/978-3-030-71381-2,Kevin DaimiDr. Cathryn Peoples,2021,http://link.springer.com/book/10.1007/978-3-030-71381-2,Book
Mobile Internet Security,Communications in Computer and Information Science,,,,10.1007/978-981-16-9576-6,Prof. Ilsun YouHwankuk KimTaek-Young YounProf. Francesco PalmieriProf. Dr. Igor Kotenko,2022,http://link.springer.com/book/10.1007/978-981-16-9576-6,Book
"Benchmarking, Measuring, and Optimizing",Lecture Notes in Computer Science,,,,10.1007/978-3-031-31180-2,Ana GainaruCe ZhangChunjie Luo,2023,http://link.springer.com/book/10.1007/978-3-031-31180-2,Book
Offloading Coalition Formation for Scheduling Scientific Workflow Ensembles in Fog Environments,Journal of Grid Computing,,19,3,10.1007/s10723-021-09574-y,Hajar SiarMohammad Izadi,2021,http://link.springer.com/article/10.1007/s10723-021-09574-y,Article
A Quality of Experience Illustrator User Interface for Cloud Provider Recommendations,HCI International 2022 Posters,,,,10.1007/978-3-031-06417-3_42,Panagiotis KokkinosDionisis MargarisDimitris Spiliotopoulos,2022,http://link.springer.com/chapter/10.1007/978-3-031-06417-3_42,Chapter
A survey on nature-inspired techniques for computation offloading and service placement in emerging edge technologies,World Wide Web,,25,5,10.1007/s11280-022-01053-y,Dinesh KumarGaurav BaranwalYamini ShankarDeo Prakash Vidyarthi,2022,http://link.springer.com/article/10.1007/s11280-022-01053-y,Article
Deployment and Operation of Complex Software in Heterogeneous Execution Environments,SpringerBriefs in Applied Sciences and Technology,,,,10.1007/978-3-031-04961-3,Prof. Elisabetta Di NittoDr. Jesús Gorroñogoitia CruzDr. Indika KumaraDr. Dragan RadolovićDr. Kamil TokmakovDr. Zoe Vasileiou,2022,http://link.springer.com/book/10.1007/978-3-031-04961-3,Book
Interactive Collaborative Robotics,Lecture Notes in Computer Science,,,,10.1007/978-3-031-43111-1,Andrey RonzhinAminagha SadigovRoman Meshcheryakov,2023,http://link.springer.com/book/10.1007/978-3-031-43111-1,Book
"Big Data Analytics in Astronomy, Science, and Engineering",Lecture Notes in Computer Science,,,,10.1007/978-3-031-28350-5,Shelly SachdevaYutaka WatanobeSubhash Bhalla,2023,http://link.springer.com/book/10.1007/978-3-031-28350-5,Book
SODALITE@RT: Orchestrating Applications on Cloud-Edge Infrastructures,Journal of Grid Computing,,19,3,10.1007/s10723-021-09572-0,Indika KumaraPaul MundtKamil TokmakovDragan RadolovićAlexander MaslennikovRomán Sosa GonzálezJorge Fernández FabeiroGiovanni QuattrocchiKalman MethElisabetta Di NittoDamian A. TamburriWillem-Jan Van Den HeuvelGeorgios Meditskos,2021,http://link.springer.com/article/10.1007/s10723-021-09572-0,Article
Near real-time optimization of fog service placement for responsive edge computing,Journal of Cloud Computing,,9,1,10.1186/s13677-020-00180-z,Tom GoethalsFilip De TurckBruno Volckaert,2020,http://link.springer.com/article/10.1186/s13677-020-00180-z,Article
Self-adaptive architectures in IoT systems: a systematic literature review,Journal of Internet Services and Applications,,12,1,10.1186/s13174-021-00145-8,Iván AlfonsoKelly GarcésHarold CastroJordi Cabot,2021,http://link.springer.com/article/10.1186/s13174-021-00145-8,Article
"Economics of Grids, Clouds, Systems, and Services",Lecture Notes in Computer Science,,,,10.1007/978-3-031-29315-3,José Ángel BañaresJörn AltmannOrna Agmon Ben-YehudaKarim DjemameVlado StankovskiBruno Tuffin,2023,http://link.springer.com/book/10.1007/978-3-031-29315-3,Book
"Leveraging Applications of Formal Methods, Verification and Validation. Practice",Lecture Notes in Computer Science,,,,10.1007/978-3-031-19762-8,Tiziana MargariaBernhard Steffen,2022,http://link.springer.com/book/10.1007/978-3-031-19762-8,Book
Computer Security. ESORICS 2021 International Workshops,Lecture Notes in Computer Science,,,,10.1007/978-3-030-95484-0,Sokratis KatsikasProf. Costas LambrinoudakisNora CuppensProf. John MylopoulosChristos KalloniatisDr. Weizhi MengSteven FurnellFrank PallasJörg PohleM. Angela SasseHabtamu AbieSilvio RaniseLuca VerderameEnrico CambiasoJorge Maestre VidalMarco Antonio Sotelo Monge,2022,http://link.springer.com/book/10.1007/978-3-030-95484-0,Book
Microservices Management on Cloud/Edge Environments,Service-Oriented Computing – ICSOC 2019 Workshops,,,,10.1007/978-3-030-45989-5_8,André CarruscaMaria Cecília GomesJoão Leitão,2020,http://link.springer.com/chapter/10.1007/978-3-030-45989-5_8,Chapter
Fluidware: An Approach Towards Adaptive and Scalable Programming of the IoT,"Models, Languages, and Tools for Concurrent and Distributed Programming",,,,10.1007/978-3-030-21485-2_22,Giancarlo FortinoBarbara ReMirko ViroliFranco Zambonelli,2019,http://link.springer.com/chapter/10.1007/978-3-030-21485-2_22,Chapter
Deep Learning-Based Facial Recognition on Hybrid Architecture for Financial Services,Artificial Intelligence for Cloud and Edge Computing,,,,10.1007/978-3-030-80821-1_3,Oscar GranadosOlmer Garcia-Bedoya,2022,http://link.springer.com/chapter/10.1007/978-3-030-80821-1_3,Chapter
Data-Aware Application Placement and Management in the Cloud-IoT Continuum,Service-Oriented Computing – ICSOC 2022 Workshops,,,,10.1007/978-3-031-26507-5_24,Jacopo Massa,2023,http://link.springer.com/chapter/10.1007/978-3-031-26507-5_24,Chapter
Knowledge-based edge computing framework based on CoAP and HTTP for enabling heterogeneous connectivity,Personal and Ubiquitous Computing,,26,2,10.1007/s00779-020-01466-4,Rongxu XuWenquan JinDo Hyeun Kim,2022,http://link.springer.com/article/10.1007/s00779-020-01466-4,Article
The New Normal: Cybersecurity and Associated Drivers for a Post-COVID-19 Cloud,Advances in Cybersecurity Management,,,,10.1007/978-3-030-71381-2_18,Douglas J. MillwardNkaepe OlaniyiCathryn Peoples,2021,http://link.springer.com/chapter/10.1007/978-3-030-71381-2_18,Chapter
Stability Under Adversarial Injection of Dependent Tasks (Extended Abstract),Networked Systems,,,,10.1007/978-3-030-67087-0_23,Vicent CholviJuan EchagüeAntonio Fernández AntaChristopher Thraves Caro,2021,http://link.springer.com/chapter/10.1007/978-3-030-67087-0_23,Chapter
A Survey on Collaborative DNN Inference for Edge Intelligence,Machine Intelligence Research,,20,3,10.1007/s11633-022-1391-7,Wei-Qing RenYu-Ben QuChao DongYu-Qian JingHao SunQi-Hui WuSong Guo,2023,http://link.springer.com/article/10.1007/s11633-022-1391-7,Article
FLEDGE: Kubernetes Compatible Container Orchestration on Low-Resource Edge Devices,Internet of Vehicles. Technologies and Services Toward Smart Cities,,,,10.1007/978-3-030-38651-1_16,Tom GoethalsFilip De TurckBruno Volckaert,2020,http://link.springer.com/chapter/10.1007/978-3-030-38651-1_16,Chapter
Mimicking FogDirector application management,SICS Software-Intensive Cyber-Physical Systems,,34,2 - 3,10.1007/s00450-019-00403-y,Stefano FortiAhmad IbrahimAntonio Brogi,2019,http://link.springer.com/article/10.1007/s00450-019-00403-y,Article
MSDBench: Understanding the Performance Impact of Isolation Domains on Microservice-Based IoT Deployments,"Benchmarking, Measuring, and Optimizing",,,,10.1007/978-3-031-31180-2_3,Sierra WangFatih BakirTyler EkairebJack PearsonChandra KrintzRich Wolski,2023,http://link.springer.com/chapter/10.1007/978-3-031-31180-2_3,Chapter
Service-Oriented Computing,Communications in Computer and Information Science,,,,10.1007/978-3-031-45728-9,Marco AielloJohanna BarzenSchahram DustdarFrank Leymann,2023,http://link.springer.com/book/10.1007/978-3-031-45728-9,Book
"Notes on ensembles of IoT, network functions and clouds for service-oriented computing and applications",Service Oriented Computing and Applications,,12,1,10.1007/s11761-018-0228-2,Hong-Linh TruongNanjangud C. NarendraKwei-Jay Lin,2018,http://link.springer.com/article/10.1007/s11761-018-0228-2,Article
Edge and Fog Computing,Beyond Edge Computing,,,,10.1007/978-3-031-23344-9_6,Ana Juan Ferrer,2023,http://link.springer.com/chapter/10.1007/978-3-031-23344-9_6,Chapter
Designing Reconfigurable Intelligent Systems with Markov Blankets,Service-Oriented Computing,,,,10.1007/978-3-031-48421-6_4,Boris SedlakVictor Casamayor PujolPraveen Kumar DontaSchahram Dustdar,2023,http://link.springer.com/chapter/10.1007/978-3-031-48421-6_4,Chapter
Applications of Multimedia Clouds,Multimedia Cloud Computing Systems,,,,10.1007/978-3-030-88451-2_4,Mohsen Amini SalehiXiangbo Li,2021,http://link.springer.com/chapter/10.1007/978-3-030-88451-2_4,Chapter
Introducing Federated Learning into Internet of Things Ecosystems – Maintaining Cooperation Between Competing Parties,"Big Data Analytics in Astronomy, Science, and Engineering",,,,10.1007/978-3-031-28350-5_5,Karolina BogackaAnastasiya DanilenkaKatarzyna Wasielewska-MichniewskaMarcin PaprzyckiMaria GanzhaEduardo GarroLambis Tassakos,2023,http://link.springer.com/chapter/10.1007/978-3-031-28350-5_5,Chapter
Streamlining XR Application Deployment with a Localized Docker Registry at the Edge,Service-Oriented and Cloud Computing,,,,10.1007/978-3-031-46235-1_12,Antonios MakrisEvangelos PsomakelisIoannis KorontanisTheodoros TheodoropoulosAntonis ProtopsaltisMaria PaterakiZbyszek LedwońChristos DiouDimosthenis AnagnostopoulosKonstantinos Tserpes,2023,http://link.springer.com/chapter/10.1007/978-3-031-46235-1_12,Chapter
Intelligent Information and Database Systems,Lecture Notes in Computer Science,,,,10.1007/978-981-99-5837-5,Ngoc Thanh NguyenSiridech BoonsangHamido FujitaBogumiła HnatkowskaTzung-Pei HongKitsuchart PasupaAli Selamat,2023,http://link.springer.com/book/10.1007/978-981-99-5837-5,Book
Enabling an Isolated and Energy-Aware Deployment of Computationally Intensive Kernels on Multi-tenant Environments,"Embedded Computer Systems: Architectures, Modeling, and Simulation",,,,10.1007/978-3-031-46077-7_27,Argyris KokkinisAnnastasios NanosKostas Siozios,2023,http://link.springer.com/chapter/10.1007/978-3-031-46077-7_27,Chapter
FaaS and Curious: Performance Implications of Serverless Functions on Edge Computing Platforms,High Performance Computing,,,,10.1007/978-3-030-90539-2_29,Achilleas TzenetopoulosEvangelos ApostolakisAphrodite TzomakaChristos PapakostopoulosKonstantinos StavrakakisManolis KatsaragakisIoannis OroutzoglouDimosthenis MasourosSotirios XydisDimitrios Soudris,2021,http://link.springer.com/chapter/10.1007/978-3-030-90539-2_29,Chapter
LSTM Acceleration with FPGA and GPU Devices for Edge Computing Applications in B5G MEC,"Embedded Computer Systems: Architectures, Modeling, and Simulation",,,,10.1007/978-3-031-15074-6_26,Dimitrios DanopoulosIoannis StamouliasGeorge LentarisDimosthenis MasourosIoannis KanaropoulosAndreas Kosmas KakolyrisDimitrios Soudris,2022,http://link.springer.com/chapter/10.1007/978-3-031-15074-6_26,Chapter
Guest editorial for the special section on MODELS 2020,Software and Systems Modeling,,21,5,10.1007/s10270-022-01044-7,Silvia AbrahãoJuan de LaraHouari SahraouiEugene Syriani,2022,http://link.springer.com/article/10.1007/s10270-022-01044-7,Article
Toward Impact Generation and Future Research,Deployment and Operation of Complex Software in Heterogeneous Execution Environments,,,,10.1007/978-3-031-04961-3_8,Joao Pita CostaElisabetta Di NittoIndika Kumara,2022,http://link.springer.com/chapter/10.1007/978-3-031-04961-3_8,Chapter
Designing Data Spaces,,,,,10.1007/978-3-030-93975-5,Prof. Dr. Boris OttoProf. Dr. Michael ten HompelProf. Dr. Stefan Wrobel,2022,http://link.springer.com/book/10.1007/978-3-030-93975-5,Book
Towards Serverless Data Exchange Within Federations,Service-Oriented Computing,,,,10.1007/978-3-031-45728-9_9,Boris SedlakVictor Casamayor PujolPraveen Kumar DontaSebastian WernerKarl WolfMatteo FalconiFrank PallasSchahram DustdarStefan TaiPierluigi Plebani,2023,http://link.springer.com/chapter/10.1007/978-3-031-45728-9_9,Chapter
Software Architecture,Lecture Notes in Computer Science,,,,10.1007/978-3-031-42592-9,Bedir TekinerdoganCatia TrubianiChouki TibermacinePatrizia ScandurraCarlos E. Cuesta,2023,http://link.springer.com/book/10.1007/978-3-031-42592-9,Book
Data and Applications Security and Privacy XXXVI,Lecture Notes in Computer Science,,,,10.1007/978-3-031-10684-2,Prof. Shamik SuralHaibing Lu,2022,http://link.springer.com/book/10.1007/978-3-031-10684-2,Book
Blockchain and Trustworthy Systems,Communications in Computer and Information Science,,,,10.1007/978-981-15-2777-7,Zibin ZhengDr. Hong-Ning DaiMingdong TangXiangping Chen,2020,http://link.springer.com/book/10.1007/978-981-15-2777-7,Book
"Mobile Wireless Middleware, Operating Systems and Applications","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",,,,10.1007/978-3-031-34497-8,Ruidong LiMin JiaTarik Taleb,2023,http://link.springer.com/book/10.1007/978-3-031-34497-8,Book
Energy Efficient Computation Offloading in Mobile Edge Computing,Wireless Networks,,,,10.1007/978-3-031-16822-2,Ying ChenNing ZhangYuan WuSherman Shen,2022,http://link.springer.com/book/10.1007/978-3-031-16822-2,Book
Database and Expert Systems Applications,Lecture Notes in Computer Science,,,,10.1007/978-3-030-86475-0,Prof. Dr. Christine StraussProf. Dr. Gabriele KotsisA Min TjoaIsmail Khalil,2021,http://link.springer.com/book/10.1007/978-3-030-86475-0,Book
Additional Technologies for Swarm Development,Beyond Edge Computing,,,,10.1007/978-3-031-23344-9_7,Ana Juan Ferrer,2023,http://link.springer.com/chapter/10.1007/978-3-031-23344-9_7,Chapter
The Digital Playbook,,,,,10.1007/978-3-030-88221-1,Dirk SlamaTanja RückertSebastian ThrunUlrich HomannHeiner Lasi,2023,http://link.springer.com/book/10.1007/978-3-030-88221-1,Book
Using Dynamic Data Driven Cyberinfrastructure for Next Generation Disaster Intelligence,Dynamic Data Driven Applications Systems,,,,10.1007/978-3-030-61725-7_4,Ilkay Altintas,2020,http://link.springer.com/chapter/10.1007/978-3-030-61725-7_4,Chapter
"Mobile and Ubiquitous Systems: Computing, Networking and Services","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",,,,10.1007/978-3-030-94822-1,Takahiro HaraHirozumi Yamaguchi,2022,http://link.springer.com/book/10.1007/978-3-030-94822-1,Book
Extended Reality,Lecture Notes in Computer Science,,,,10.1007/978-3-031-43401-3,Lucio Tommaso De PaolisPasquale ArpaiaMarco Sacco,2023,http://link.springer.com/book/10.1007/978-3-031-43401-3,Book
Artificial Intelligence in China,Lecture Notes in Electrical Engineering,,,,10.1007/978-981-99-1256-8,Qilian LiangWei WangJiasong MuXin LiuZhenyu Na,2023,http://link.springer.com/book/10.1007/978-981-99-1256-8,Book
"Sustainable Development through Machine Learning, AI and IoT",Communications in Computer and Information Science,,,,10.1007/978-3-031-47055-4,Pawan WhigNuno SilvaAhmed A. ElngarNagender AnejaPavika Sharma,2023,http://link.springer.com/book/10.1007/978-3-031-47055-4,Book
Cognitive Radio Oriented Wireless Networks and Wireless Internet,"Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",,,,10.1007/978-3-030-98002-3,Huilong JinChungang LiuDr. Al-Sakib Khan PathanZubair Md. FadlullahSalimur Choudhury,2022,http://link.springer.com/book/10.1007/978-3-030-98002-3,Book
Algorithmic Aspects of Cloud Computing,Lecture Notes in Computer Science,,,,10.1007/978-3-031-33437-5,Luca FoschiniSpyros Kontogiannis,2023,http://link.springer.com/book/10.1007/978-3-031-33437-5,Book
"Collaborative Computing: Networking, Applications and Worksharing","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",,,,10.1007/978-3-031-24383-7,Honghao GaoXinheng WangWei WeiTasos Dagiuklas,2022,http://link.springer.com/book/10.1007/978-3-031-24383-7,Book
ICT Innovations 2021. Digital Transformation,Communications in Computer and Information Science,,,,10.1007/978-3-031-04206-5,Ljupcho AntovskiGoce Armenski,2022,http://link.springer.com/book/10.1007/978-3-031-04206-5,Book
Mobile Edge Computing,,,,,10.1007/978-3-030-69893-5,Dr. Anwesha MukherjeeProf. Dr. Debashis DeProf. Dr. Soumya K. GhoshProf. Dr. Rajkumar Buyya,2021,http://link.springer.com/book/10.1007/978-3-030-69893-5,Book
Social Edge Computing,,,,,10.1007/978-3-031-26936-3,Dong WangDaniel 'Yue' Zhang,2023,http://link.springer.com/book/10.1007/978-3-031-26936-3,Book
Web Information Systems Engineering – WISE 2022,Lecture Notes in Computer Science,,,,10.1007/978-3-031-20891-1,Richard ChbeirHelen HuangFabrizio SilvestriYannis ManolopoulosYanchun Zhang,2022,http://link.springer.com/book/10.1007/978-3-031-20891-1,Book
Cybersecurity in Emerging Digital Era,Communications in Computer and Information Science,,,,10.1007/978-3-030-84842-2,Dr. Rajeev AgrawalProf. Goutam SanyalProf. Kevin CurranProf. Valentina Emilia BalasMadhu Sharma Gaur,2021,http://link.springer.com/book/10.1007/978-3-030-84842-2,Book
"Big-Data-Analytics in Astronomy, Science, and Engineering",Lecture Notes in Computer Science,,,,10.1007/978-3-030-96600-3,Shelly SachdevaYutaka WatanobeProf. Subhash Bhalla,2022,http://link.springer.com/book/10.1007/978-3-030-96600-3,Book
Decision Support Systems XIII. Decision Support Systems in An Uncertain World: The Contribution of Digital Twins,Lecture Notes in Business Information Processing,,,,10.1007/978-3-031-32534-2,Shaofeng LiuPascale ZaratéDaouda KamissokoIsabelle LindenJason Papathanasiou,2023,http://link.springer.com/book/10.1007/978-3-031-32534-2,Book
"Predictive Analytics in Cloud, Fog, and Edge Computing",,,,,10.1007/978-3-031-18034-7,Hiren Kumar ThakkarChinmaya Kumar DehuryPrasan Kumar SahooBharadwaj Veeravalli,2023,http://link.springer.com/book/10.1007/978-3-031-18034-7,Book
Methods and Applications for Modeling and Simulation of Complex Systems,Communications in Computer and Information Science,,,,10.1007/978-981-19-6857-0,Byeong-Yun ChangChangbeom Choi,2022,http://link.springer.com/book/10.1007/978-981-19-6857-0,Book
Business Process Management Forum,Lecture Notes in Business Information Processing,,,,10.1007/978-3-031-41623-1,Chiara Di FrancescomarinoAndrea BurattinChristian JanieschShazia Sadiq,2023,http://link.springer.com/book/10.1007/978-3-031-41623-1,Book
The Impact of Encoding and Transport for Massive Real-time IoT Data on Edge Resource Consumption,Journal of Grid Computing,,19,3,10.1007/s10723-021-09577-9,Francesco TusaStuart Clayman,2021,http://link.springer.com/article/10.1007/s10723-021-09577-9,Article
Huawei and International Data Spaces,Designing Data Spaces,,,,10.1007/978-3-030-93975-5_27,Martin A. O’BrienDavid MohallyGötz P. BrascheAndrea G. Sanfilippo,2022,http://link.springer.com/chapter/10.1007/978-3-030-93975-5_27,Chapter
Extending reference architecture of big data systems towards machine learning in edge computing environments,Journal of Big Data,,7,1,10.1186/s40537-020-00303-y,P. PääkkönenD. Pakkala,2020,http://link.springer.com/article/10.1186/s40537-020-00303-y,Article
Mobile Governance in Indian Urban Local Bodies: An Exploratory Study,"Social Media: The Good, the Bad, and the Ugly",,,,10.1007/978-3-319-45234-0_55,Somnath MitraM. P. GuptaJaijit Bhattacharya,2016,http://link.springer.com/chapter/10.1007/978-3-319-45234-0_55,Chapter
Looking to the Future,Managing Risk and Information Security,,,,10.1007/978-1-4302-5114-9_8,Malcolm Harkins,2013,http://link.springer.com/chapter/10.1007/978-1-4302-5114-9_8,Chapter
Towards Privacy-First Security Enablers for 6G Networks: The PRIVATEER Approach,"Embedded Computer Systems: Architectures, Modeling, and Simulation",,,,10.1007/978-3-031-46077-7_25,Dimosthenis MasourosDimitrios SoudrisGeorgios GardikisVictoria KatsarouMaria ChristopoulouGeorge XilourisHugo RamónAntonio PastorFabrizio ScaglioneCristian PetrolliniAntónio PintoJoão P. VilelaAntonia KaramatskouNikolaos PapadakisAnna AngelogianniThanassis Giannetsos,2023,http://link.springer.com/chapter/10.1007/978-3-031-46077-7_25,Chapter
Redundant Virtual Machine Placement in Mobile Edge Computing,Blockchain and Trustworthy Systems,,,,10.1007/978-981-15-2777-7_30,Siyi GaoAo ZhouXican ChenQibo Sun,2020,http://link.springer.com/chapter/10.1007/978-981-15-2777-7_30,Chapter
SCORE: A Resource-Efficient Microservice Orchestration Model Based on Spectral Clustering in Edge Computing,Service-Oriented Computing,,,,10.1007/978-3-031-20984-0_13,Ning LiYusong TanXiaochuan WangBao LiJun Luo,2022,http://link.springer.com/chapter/10.1007/978-3-031-20984-0_13,Chapter
The Effect of IoT Data Completeness and Correctness on Explainable Machine Learning Models,Database and Expert Systems Applications,,,,10.1007/978-3-030-86475-0_15,Shelernaz AzimiClaus Pahl,2021,http://link.springer.com/chapter/10.1007/978-3-030-86475-0_15,Chapter
WebAssembly as an Enabler for Next Generation Serverless Computing,Journal of Grid Computing,,21,3,10.1007/s10723-023-09669-8,Vojdan KjorveziroskiSonja Filiposka,2023,http://link.springer.com/article/10.1007/s10723-023-09669-8,Article
AI Quality Engineering for Machine Learning Based IoT Data Processing,Cloud Computing and Services Science,,,,10.1007/978-3-031-21637-4_4,Shelernaz AzimiClaus Pahl,2022,http://link.springer.com/chapter/10.1007/978-3-031-21637-4_4,Chapter
Shaping IoT Systems Together: The User-System Mixed-Initiative Paradigm and Its Challenges,Software Architecture,,,,10.1007/978-3-031-42592-9_15,Romina SpalazzeseMartina De SanctisFahed AlkhabbasPaul Davidsson,2023,http://link.springer.com/chapter/10.1007/978-3-031-42592-9_15,Chapter
WebAssembly in IoT: Beyond Toy Examples,Web Engineering,,,,10.1007/978-3-031-34444-2_7,Pyry KotilainenViljami JärvinenJuho TarkkanenTeemu AuttoTeerath DasMuhammad WaseemTommi Mikkonen,2023,http://link.springer.com/chapter/10.1007/978-3-031-34444-2_7,Chapter
Data 101,The Digital Playbook,,,,10.1007/978-3-030-88221-1_3,Dirk Slama,2023,http://link.springer.com/chapter/10.1007/978-3-030-88221-1_3,Chapter
Introduction,Beyond Edge Computing,,,,10.1007/978-3-031-23344-9_1,Ana Juan Ferrer,2023,http://link.springer.com/chapter/10.1007/978-3-031-23344-9_1,Chapter
The SODALITE Runtime Environment,Deployment and Operation of Complex Software in Heterogeneous Execution Environments,,,,10.1007/978-3-031-04961-3_5,Indika KumaraGiovanni QuattrocchiDragan RadoloviÄ‡Kamil TokmakovJesÃºs Ramos RivasWillem-Jan Van Den Heuvel,2022,http://link.springer.com/chapter/10.1007/978-3-031-04961-3_5,Chapter
