Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Euro-Par 2023: Parallel Processing","Lecture Notes in Computer Science","","","","10.1007/978-3-031-39698-4","José CanoMarios D. DikaiakosGeorge A. PapadopoulosMiquel PericàsRizos Sakellariou","2023","http://link.springer.com/book/10.1007/978-3-031-39698-4","Book"
"Springer Handbook of Augmented Reality","Springer Handbooks","","","","10.1007/978-3-030-67822-7","Andrew Yeh Ching NeeSoh Khim Ong","2023","http://link.springer.com/book/10.1007/978-3-030-67822-7","Book"
"Cloud Computing Continuum Research Topics and Challenges. A Multi-source Analysis","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-031-23298-5_7","Juncal AlonsoLeire Orue-EchevarriaEnrique Areizaga","2022","http://link.springer.com/chapter/10.1007/978-3-031-23298-5_7","Chapter"
"Mobile Web and Intelligent Information Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-031-39764-6","Muhammad YounasIrfan AwanTor-Morten Grønli","2023","http://link.springer.com/book/10.1007/978-3-031-39764-6","Book"
"Service-Oriented Computing","Lecture Notes in Computer Science","","","","10.1007/978-3-031-48424-7","Flavia MontiStefanie Rinderle-MaAntonio Ruiz CortésZibin ZhengMassimo Mecella","2023","http://link.springer.com/book/10.1007/978-3-031-48424-7","Book"
"ICWE 2021 Workshops","Communications in Computer and Information Science","","","","10.1007/978-3-030-92231-3","Maxim BakaevProf. In-Young KoMichael MrissaProf. Cesare PautassoAbhishek Srivastava","2022","http://link.springer.com/book/10.1007/978-3-030-92231-3","Book"
"Internet of Things","Lecture Notes in Computer Science","","","","10.1007/978-3-031-20936-9","Aurora González-VidalAhmed Mohamed AbdelgawadEssaid SabirSébastien ZieglerLatif Ladid","2022","http://link.springer.com/book/10.1007/978-3-031-20936-9","Book"
"Global Challenges for a Sustainable Society","Springer Proceedings in Earth and Environmental Sciences","","","","10.1007/978-3-031-25840-4","José Alberto Benítez-AndradesPaula García-LlamasÁngela TaboadaLaura Estévez-MaurizRoberto Baelo","2023","http://link.springer.com/book/10.1007/978-3-031-25840-4","Book"
"Computer Security. ESORICS 2022 International Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-031-25460-4","Sokratis KatsikasFrédéric CuppensChristos KalloniatisJohn MylopoulosFrank PallasJörg PohleM. Angela SasseHabtamu AbieSilvio RaniseLuca VerderameEnrico CambiasoJorge Maestre VidalMarco Antonio Sotelo MongeMassimiliano AlbaneseBasel KattSandeep PirbhulalAnkur Shukla","2023","http://link.springer.com/book/10.1007/978-3-031-25460-4","Book"
"Highlights in Practical Applications of Agents, Multi-Agent Systems, and Complex Systems Simulation. The PAAMS Collection","Communications in Computer and Information Science","","","","10.1007/978-3-031-18697-4","Alfonso González-BrionesAna AlmeidaAlberto FernandezAlia El BolockDalila DurãesJaume JordánFernando Lopes","2022","http://link.springer.com/book/10.1007/978-3-031-18697-4","Book"
"High Performance Computing","Lecture Notes in Computer Science","","","","10.1007/978-3-031-40843-4","Amanda BienzMichèle WeilandMarc BaboulinCarola Kruse","2023","http://link.springer.com/book/10.1007/978-3-031-40843-4","Book"
"Distributed Applications and Interoperable Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-030-78198-9","Miguel MatosFabíola Greve","2021","http://link.springer.com/book/10.1007/978-3-030-78198-9","Book"
"Intelligent Computing","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-10461-9","Prof. Dr. Kohei Arai","2022","http://link.springer.com/book/10.1007/978-3-031-10461-9","Book"
"The Evolution of Pervasive Information Systems","","","","","10.1007/978-3-031-18176-4","Manuele Kirsch PinheiroCarine SouveyetPhilippe RooseLuiz Angelo Steffenel","2023","http://link.springer.com/book/10.1007/978-3-031-18176-4","Book"
"A Survey on the Use of Lightweight Virtualization in I4.0 Manufacturing Environments","Journal of Network and Systems Management","","31","2","10.1007/s10922-023-09725-4","Giuseppe Di ModicaLuca Foschini","2023","http://link.springer.com/article/10.1007/s10922-023-09725-4","Article"
"The Monetization of Technical Data","","","","","10.1007/978-3-662-66509-1","Daniel TrauthThomas BergsWolfgang Prinz","2023","http://link.springer.com/book/10.1007/978-3-662-66509-1","Book"
"Task scheduling in the internet of things: challenges, solutions, and future trends","Cluster Computing","","","","10.1007/s10586-023-03991-2","Tianqi BuZanyu HuangKairui ZhangYang WangHaobin SongJietong ZhouZhangjun RenSen Liu","2023","http://link.springer.com/article/10.1007/s10586-023-03991-2","Article"
"Deep Learning Techniques for IoT Security and Privacy","Studies in Computational Intelligence","","","","10.1007/978-3-030-89025-4","Dr. Mohamed Abdel-BassetDr. Nour MoustafaDr. Hossam HawashDr. Weiping Ding","2022","http://link.springer.com/book/10.1007/978-3-030-89025-4","Book"
"Declarative Osmotic Application Placement","Advanced Information Systems Engineering Workshops","","","","10.1007/978-3-030-79022-6_15","Stefano FortiAntonio Brogi","2021","http://link.springer.com/chapter/10.1007/978-3-030-79022-6_15","Chapter"
"Trends in Sustainable Smart Cities and Territories","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-36957-5","Luis Fernando Castillo OssaGustavo IsazaÓscar CardonaOmar Danilo CastrillónJuan Manuel Corchado RodriguezFernando De la Prieta Pintado","2023","http://link.springer.com/book/10.1007/978-3-031-36957-5","Book"
"Intelligent Systems and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-16078-3","Kohei Arai","2023","http://link.springer.com/book/10.1007/978-3-031-16078-3","Book"
"Innovations in Bio-Inspired Computing and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-96299-9","Dr. Ajith AbrahamDr. Ana Maria MadureiraDr. Arturas KaklauskasDr. Niketa GandhiDr. Anu BajajDr. Azah Kamilah MudaDr. Dalia KriksciunieneDr. João Carlos Ferreira","2022","http://link.springer.com/book/10.1007/978-3-030-96299-9","Book"
"Machine Learning and Big Data Analytics  (Proceedings of International Conference on Machine Learning and Big Data Analytics (ICMLBDA) 2021)","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-82469-3","Dr. Rajiv MisraRudrapatna K. ShyamasundarDr. Amrita ChaturvediProf. Rana Omer","2022","http://link.springer.com/book/10.1007/978-3-030-82469-3","Book"
"Decision Support Systems XIII. Decision Support Systems in An Uncertain World: The Contribution of Digital Twins","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-32534-2","Shaofeng LiuPascale ZaratéDaouda KamissokoIsabelle LindenJason Papathanasiou","2023","http://link.springer.com/book/10.1007/978-3-031-32534-2","Book"
"Advanced Information Networking and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-99619-2","Prof. Dr. Leonard BarolliProf. Farookh HussainProf. Tomoya Enokido","2022","http://link.springer.com/book/10.1007/978-3-030-99619-2","Book"
"Self-adaptive architectures in IoT systems: a systematic literature review","Journal of Internet Services and Applications","","12","1","10.1186/s13174-021-00145-8","Iván AlfonsoKelly GarcésHarold CastroJordi Cabot","2021","http://link.springer.com/article/10.1186/s13174-021-00145-8","Article"
"Distributed Applications and Interoperable Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-031-35260-7","Marta Patiño-MartínezJoão Paulo","2023","http://link.springer.com/book/10.1007/978-3-031-35260-7","Book"
"HCI International 2022 Posters","Communications in Computer and Information Science","","","","10.1007/978-3-031-06417-3","Constantine StephanidisMargherita AntonaStavroula Ntoa","2022","http://link.springer.com/book/10.1007/978-3-031-06417-3","Book"
"Software Engineering and Formal Methods. SEFM 2021 Collocated Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-031-12429-7","Antonio CeroneMarco AutiliAlessio BucaioniCláudio GomesPierluigi GrazianiMaurizio PalmieriMarco TemperiniGentiane Venture","2022","http://link.springer.com/book/10.1007/978-3-031-12429-7","Book"
"Handbook of Dynamic Data Driven Applications Systems","","","","","10.1007/978-3-031-27986-7","Frederica DaremaErik P. BlaschSai RavelaAlex J. Aved","2023","http://link.springer.com/book/10.1007/978-3-031-27986-7","Book"
"The Digital Twin","","","","","10.1007/978-3-031-21343-4","Noel CrespiAdam T. DrobotRoberto Minerva","2023","http://link.springer.com/book/10.1007/978-3-031-21343-4","Book"
"Intelligent Computing","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-80129-8","Prof. Dr. Kohei Arai","2021","http://link.springer.com/book/10.1007/978-3-030-80129-8","Book"
"Leveraging Applications of Formal Methods, Verification and Validation. Adaptation and Learning","Lecture Notes in Computer Science","","","","10.1007/978-3-031-19759-8","Tiziana MargariaBernhard Steffen","2022","http://link.springer.com/book/10.1007/978-3-031-19759-8","Book"
"Advances in Information and Communication","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-98015-3","Prof. Dr. Kohei Arai","2022","http://link.springer.com/book/10.1007/978-3-030-98015-3","Book"
"Advances in Service-Oriented and Cloud Computing","Communications in Computer and Information Science","","","","10.1007/978-3-031-23298-5","Christian ZirpinsGuadalupe OrtizZoltan NochtaOliver WaldhorstJacopo SoldaniMassimo VillariDamian Tamburri","2022","http://link.springer.com/book/10.1007/978-3-031-23298-5","Book"
"Intelligent Systems and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-82199-9","Prof. Dr. Kohei Arai","2022","http://link.springer.com/book/10.1007/978-3-030-82199-9","Book"
"Intelligent Systems Design and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-27440-4","Ajith AbrahamSabri PllanaGabriella CasalinoKun MaAnu Bajaj","2023","http://link.springer.com/book/10.1007/978-3-031-27440-4","Book"
"Embedded Computer Systems: Architectures, Modeling, and Simulation","Lecture Notes in Computer Science","","","","10.1007/978-3-031-46077-7","Cristina SilvanoChristian PilatoMarc Reichenbach","2023","http://link.springer.com/book/10.1007/978-3-031-46077-7","Book"
"Intelligent Sustainable Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-981-99-1726-6","Jennifer S. RajIsidoros PerikosValentina Emilia Balas","2023","http://link.springer.com/book/10.1007/978-981-99-1726-6","Book"
"Artificial Intelligence for Cloud and Edge Computing","Internet of Things","","","","10.1007/978-3-030-80821-1","Prof. Sanjay MisraProf. Amit Kumar TyagiProf. Vincenzo PiuriLalit Garg","2022","http://link.springer.com/book/10.1007/978-3-030-80821-1","Book"
"Economics of Grids, Clouds, Systems, and Services","Lecture Notes in Computer Science","","","","10.1007/978-3-030-92916-9","Dr. Konstantinos TserpesJörn AltmannJosé Ángel BañaresOrna Agmon Ben-YehudaProf. Karim DjemameProf. Vlado StankovskiDr. Bruno Tuffin","2021","http://link.springer.com/book/10.1007/978-3-030-92916-9","Book"
"Embedded Computer Systems: Architectures, Modeling, and Simulation","Lecture Notes in Computer Science","","","","10.1007/978-3-031-15074-6","Alex OrailogluMarc ReichenbachMatthias Jung","2022","http://link.springer.com/book/10.1007/978-3-031-15074-6","Book"
"Intelligent Systems Design and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-96308-8","Dr. Ajith AbrahamDr. Niketa GandhiDr. Thomas HanneDr. Tzung-Pei HongDr. Tatiane Nogueira RiosDr. Weiping Ding","2022","http://link.springer.com/book/10.1007/978-3-030-96308-8","Book"
"Distributed Computing and Artificial Intelligence, 19th International Conference","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-20859-1","Sigeru OmatuRashid MehmoodPawel SitekSerafino CiceroneSara Rodríguez","2023","http://link.springer.com/book/10.1007/978-3-031-20859-1","Book"
"Federated Learning Systems","Studies in Computational Intelligence","","","","10.1007/978-3-030-70604-3","Muhammad Habib ur RehmanProf. Mohamed Medhat Gaber","2021","http://link.springer.com/book/10.1007/978-3-030-70604-3","Book"
"Service-Oriented Computing","Communications in Computer and Information Science","","","","10.1007/978-3-031-18304-1","Johanna BarzenFrank LeymannSchahram Dustdar","2022","http://link.springer.com/book/10.1007/978-3-031-18304-1","Book"
"Multimedia Cloud Computing Systems","","","","","10.1007/978-3-030-88451-2","Dr. Mohsen Amini SalehiDr. Xiangbo Li","2021","http://link.springer.com/book/10.1007/978-3-030-88451-2","Book"
"State-of-the-Art Load Balancing Algorithms for Mist-Fog-Cloud Assisted Paradigm: A Review and Future Directions","Archives of Computational Methods in Engineering","","30","4","10.1007/s11831-023-09885-1","Subhranshu Sekhar TripathyKaushik MishraDiptendu Sinha RoyKusum YadavAli AlferaidiWattana ViriyasitavatJ. SharmilaGaurav DhimanRabindra K. Barik","2023","http://link.springer.com/article/10.1007/s11831-023-09885-1","Article"
"Security Issues in Fog Computing from 5G to 6G","Internet of Things","","","","10.1007/978-3-031-08254-2","Chintan BhattYulei WuSaad HarousMassimo Villari","2022","http://link.springer.com/book/10.1007/978-3-031-08254-2","Book"
"Future Intent-Based Networking","Lecture Notes in Electrical Engineering","","","","10.1007/978-3-030-92435-5","Prof. Dr. Mikhailo KlymashProf. Mykola BeshleyProf. Dr. Andriy Luntovskyy","2022","http://link.springer.com/book/10.1007/978-3-030-92435-5","Book"
"Extended Reality","Lecture Notes in Computer Science","","","","10.1007/978-3-031-43401-3","Lucio Tommaso De PaolisPasquale ArpaiaMarco Sacco","2023","http://link.springer.com/book/10.1007/978-3-031-43401-3","Book"
"Secure FaaS orchestration in the fog: how far are we?","Computing","","103","5","10.1007/s00607-021-00924-y","Alessandro BocciStefano FortiGian-Luigi FerrariAntonio Brogi","2021","http://link.springer.com/article/10.1007/s00607-021-00924-y","Article"
"Computer Security. ESORICS 2021 International Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-030-95484-0","Sokratis KatsikasProf. Costas LambrinoudakisNora CuppensProf. John MylopoulosChristos KalloniatisDr. Weizhi MengSteven FurnellFrank PallasJörg PohleM. Angela SasseHabtamu AbieSilvio RaniseLuca VerderameEnrico CambiasoJorge Maestre VidalMarco Antonio Sotelo Monge","2022","http://link.springer.com/book/10.1007/978-3-030-95484-0","Book"
"Building Enterprise IoT Solutions with Eclipse IoT Technologies","","","","","10.1007/978-1-4842-8882-5","Frédéric Desbiens","2023","http://link.springer.com/book/10.1007/978-1-4842-8882-5","Book"
"Research in Computer Science and Its Applications","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-030-90556-9","Youssou FayeAssane GueyeBamba GueyeDame DiongueEl Hadji Mamadou NguerMandicou Ba","2021","http://link.springer.com/book/10.1007/978-3-030-90556-9","Book"
"A Review of Monitoring Probes for Cloud Computing Continuum","Advanced Information Networking and Applications","","","","10.1007/978-3-031-28694-0_59","Yiannis Verginadis","2023","http://link.springer.com/chapter/10.1007/978-3-031-28694-0_59","Chapter"
"Edge computing","Computing","","104","12","10.1007/s00607-022-01104-2","Jorge PérezJessica DíazJavier BerrocalRamón López-VianaÁngel González-Prieto","2022","http://link.springer.com/article/10.1007/s00607-022-01104-2","Article"
"Software Ecosystems","","","","","10.1007/978-3-031-36060-2","Tom MensCoen De RooverAnthony Cleve","2023","http://link.springer.com/book/10.1007/978-3-031-36060-2","Book"
"The Semantic Web: ESWC 2022 Satellite Events","Lecture Notes in Computer Science","","","","10.1007/978-3-031-11609-4","Paul GrothAnisa RulaJodi SchneiderDr. Ilaria TiddiProf. Elena SimperlPanos AlexopoulosRinke HoekstraDr. Mehwish AlamDr. Anastasia DimouMinna Tamper","2022","http://link.springer.com/book/10.1007/978-3-031-11609-4","Book"
"Inventive Communication and Computational Technologies","Lecture Notes in Networks and Systems","","","","10.1007/978-981-15-0146-3","Prof. G. RanganathanDr. Joy ChenProf. Álvaro Rocha","2020","http://link.springer.com/book/10.1007/978-981-15-0146-3","Book"
"Edge Intelligence","","","","","10.1007/978-3-031-22155-2","Javid TaheriSchahram DustdarAlbert ZomayaShuiguang Deng","2023","http://link.springer.com/book/10.1007/978-3-031-22155-2","Book"
"Fog Computing Complete Review: Concepts, Trends, Architectures, Technologies, Simulators, Security Issues, Applications, and Open Research Fields","SN Computer Science","","4","6","10.1007/s42979-023-02235-9","Ishtiaq Ahammad","2023","http://link.springer.com/article/10.1007/s42979-023-02235-9","Article"
"Analysis of Mobile Communication Network Architecture Based on SDN","Journal of Grid Computing","","20","3","10.1007/s10723-022-09617-y","Kai ZhangXiaohu ZhaoYou PengKuncheng YanPengyan Sun","2022","http://link.springer.com/article/10.1007/s10723-022-09617-y","Article"
"Proceedings of Seventh International Congress on Information and Communication Technology","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-1607-6","Dr. Xin-She YangDr. Simon SherrattDr. Nilanjan DeyDr. Amit Joshi","2023","http://link.springer.com/book/10.1007/978-981-19-1607-6","Book"
"Embedded Computer Systems: Architectures, Modeling, and Simulation","Lecture Notes in Computer Science","","","","10.1007/978-3-031-04580-6","Alex OrailogluMatthias JungMarc Reichenbach","2022","http://link.springer.com/book/10.1007/978-3-031-04580-6","Book"
"Practical Aspects of Declarative Languages","Lecture Notes in Computer Science","","","","10.1007/978-3-030-94479-7","Prof. James CheneySimona Perri","2022","http://link.springer.com/book/10.1007/978-3-030-94479-7","Book"
"Applications of Computational Methods in Manufacturing and Product Design","Lecture Notes in Mechanical Engineering","","","","10.1007/978-981-19-0296-3","Dr. B. B. V. L. DeepakProf. D.R.K. ParhiProf. B.B. BiswalAssoc. Prof. Pankaj C. Jena","2022","http://link.springer.com/book/10.1007/978-981-19-0296-3","Book"
"Proceedings of the Future Technologies Conference (FTC) 2022, Volume 1","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-18461-1","Kohei Arai","2023","http://link.springer.com/book/10.1007/978-3-031-18461-1","Book"
"Distributed Computing Continuum Systems","Edge Intelligence","","","","10.1007/978-3-031-22155-2_1","Javid TaheriSchahram DustdarAlbert ZomayaShuiguang Deng","2023","http://link.springer.com/chapter/10.1007/978-3-031-22155-2_1","Chapter"
"Computational Science – ICCS 2021","Lecture Notes in Computer Science","","","","10.1007/978-3-030-77961-0","Prof. Maciej PaszynskiProf. Dr. Dieter KranzlmüllerDr. Valeria V. KrzhizhanovskayaProf. Jack J. DongarraProf. Dr. Peter M. A. Sloot","2021","http://link.springer.com/book/10.1007/978-3-030-77961-0","Book"
"Artificial Intelligence and Sustainable Computing","Algorithms for Intelligent Systems","","","","10.1007/978-981-19-1653-3","Manjaree PanditM. K. GaurPrashant Singh RanaAkhilesh Tiwari","2022","http://link.springer.com/book/10.1007/978-981-19-1653-3","Book"
